Ordem,Informações,Última Atualização,Serviço,Categoria
2029229105,"12.931.954 - pendente materiais
",2025-03-24 08:36:17,PG014-00005(Vaz)-Eliminar vaz.válv.bloq.,tratar materiais
2030016831,Enviado replanejamento conforme nota ZR anexada - Cesar,2025-03-25 07:34:06,D-504-F(Próx.J-509)(VAZ)-Elim. Vazto.,Microplanejar
2030214081,"Manutenção prevista para 24/05/2025
",2025-03-20 11:33:14,M-579 Abertura para inspeção geral,
2029855231,Solicitado materiais por Cesar no grupo de apoio de materiais,2025-03-24 08:20:05,M-409(VAZ)PQT175-Elim.vaz.linha cond.,
2026444560,Desmontagem de andaime,2025-03-24 11:17:40,D-600(L-641;J-641A)-Subs.Trech./Inst.CAP,Desmontagem de andaime
2030326414,"Mensagem David
Pedro Klauber Fernandes de Araujo - PrestServ e Ricardo de Almeida Bispo - PrestServ, estou em uma reunião sobre a intervenção no vazamento da J-588A. aquele poro na solda de encaixe, lembram-se?
está para sair a liberação no dia 03/04.
 
A intenção é fazer um aplicação de selante inicialmente
se não der certo, partimos para a liberação, raqueteamento e soldagem sem TTAT.
 ",2025-03-24 15:52:28,D-502D(J-588A)-Injeção selante conexão,1.0 Gerencial
